S1223
     1.000000    0.000000
     0.995359    0.003858
     0.988900    0.009788
     0.982481    0.015169
     0.975668    0.019849
     0.968114    0.024096
     0.959624    0.028177
     0.950084    0.032283
     0.939438    0.036465
     0.927618    0.040735
     0.914601    0.045091
     0.900449    0.049501
     0.885264    0.053930
     0.869197    0.058340
     0.852417    0.062688
     0.835062    0.066944
     0.817243    0.071093
     0.799050    0.075124
     0.780551    0.079034
     0.761818    0.082820
     0.742917    0.086473
     0.723859    0.089994
     0.704645    0.093393
     0.685324    0.096670
     0.665922    0.099820
     0.646410    0.102850
     0.626786    0.105772
     0.607087    0.108585
     0.587331    0.111288
     0.567513    0.113884
     0.547617    0.116381
     0.527654    0.118785
     0.507704    0.121093
     0.487845    0.123290
     0.468103    0.125363
     0.448516    0.127302
     0.429177    0.129085
     0.410141    0.130684
     0.391416    0.132080
     0.373046    0.133249
     0.355092    0.134168
     0.337486    0.134816
     0.320153    0.135195
     0.303290    0.135317
     0.287150    0.135141
     0.271694    0.134610
     0.256724    0.133696
     0.242052    0.132379
     0.227560    0.130660
     0.213266    0.128562
     0.199216    0.126086
     0.185358    0.123214
     0.171640    0.119954
     0.158133    0.116341
     0.144933    0.112406
     0.132098    0.108172
     0.119711    0.103682
     0.107883    0.098987
     0.096675    0.094120
     0.086121    0.089122
     0.076278    0.084062
     0.067199    0.079000
     0.058904    0.073992
     0.051383    0.069077
     0.044599    0.064285
     0.038514    0.059651
     0.033089    0.055202
     0.028286    0.050928
     0.024046    0.046809
     0.020311    0.042828
     0.017026    0.038967
     0.014138    0.035218
     0.011600    0.031583
     0.009375    0.028071
     0.007436    0.024687
     0.005762    0.021426
     0.004331    0.018279
     0.003122    0.015236
     0.002123    0.012294
     0.001319    0.009455
     0.000704    0.006726
     0.000278    0.004109
     0.000038    0.001588
    -0.000015   -0.000861
     0.000121   -0.003267
     0.000446   -0.005646
     0.000988   -0.007966
     0.001864   -0.010070
     0.003221   -0.011809
     0.005105   -0.013135
     0.007393   -0.014111
     0.009925   -0.014785
     0.012664   -0.015203
     0.015650   -0.015429
     0.018922   -0.015574
     0.022513   -0.015706
     0.026456   -0.015806
     0.030800   -0.015839
     0.035632   -0.015767
     0.041088   -0.015575
     0.047347   -0.015261
     0.054594   -0.014828
     0.062988   -0.014241
     0.072693   -0.013454
     0.083921   -0.012414
     0.096794   -0.011083
     0.111174   -0.009447
     0.126620   -0.007517
     0.142689   -0.005261
     0.159371   -0.002600
     0.176944    0.000491
     0.195643    0.003990
     0.215344    0.007747
     0.235448    0.011571
     0.255536    0.015356
     0.275511    0.019057
     0.295348    0.022643
     0.315047    0.026098
     0.334629    0.029412
     0.354117    0.032581
     0.373524    0.035600
     0.392852    0.038462
     0.412115    0.041163
     0.431333    0.043702
     0.450510    0.046075
     0.469632    0.048279
     0.488685    0.050305
     0.507675    0.052148
     0.526623    0.053806
     0.545538    0.055278
     0.564411    0.056561
     0.583229    0.057651
     0.601977    0.058542
     0.620650    0.059231
     0.639240    0.059711
     0.657745    0.059979
     0.676159    0.060029
     0.694475    0.059857
     0.712681    0.059461
     0.730757    0.058833
     0.748673    0.057973
     0.766402    0.056872
     0.783924    0.055525
     0.801227    0.053926
     0.818276    0.052075
     0.835011    0.049975
     0.851364    0.047625
     0.867269    0.045032
     0.882653    0.042204
     0.897430    0.039159
     0.911499    0.035920
     0.924752    0.032520
     0.937102    0.028980
     0.948526    0.025297
     0.959064    0.021454
     0.968811    0.017392
     0.977908    0.013051
     0.986507    0.008374
     0.994741    0.003396
     1.000000    0.000000
